rank,state_rank,Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020,ADDR,CITY,STABBR,ZIP,LONGITUD,LATITUDE,COSTT4_A,COSTT4_P,total_cost
8,1,110635,University of California-Berkeley,847,6012,872,6454,779,6117,0.14088489687292083,0.13511000929656028,0.12735000817394149,200 California Hall,Berkeley,CA,94720,-122.260463,37.871918,39016,0,156064
21,1,110662,University of California-Los Angeles,707,6240,562,5919,599,6386,0.11330128205128205,0.094948471025511072,0.093798935170685882,405 Hilgard Ave,Los Angeles,CA,90095-1405,-118.442179,34.07178,35497,0,141988
32,1,110680,University of California-San Diego,1034,6707,997,6023,1125,6447,0.15416728790815565,0.16553212684708618,0.17449976733364356,9500 Gilman Dr,La Jolla,CA,92093,-117.235866,32.877749,33240,0,132960
63,1,110644,University of California-Davis,1290,6393,848,5957,1101,6144,0.20178320037541062,0.14235353365788148,0.17919921875,One Shields Avenue,Davis,CA,95616-8678,-121.749567,38.539667,35532,0,142128
64,1,110705,University of California-Santa Barbara,707,5094,891,4935,424,4847,0.13879073419709462,0.18054711246200608,0.0874767897668661,5221 Cheadle Hall,Santa Barbara,CA,93106,-119.846426,34.416297,36492,0,145968
95,1,110653,University of California-Irvine,1176,5793,1238,6069,1070,5765,0.2030036250647333,0.20398747734387873,0.18560277536860365,501 Aldrich Hall,Irvine,CA,92697,-117.841248,33.648434,34355,0,137420
192,1,110714,University of California-Santa Cruz,572,3695,416,3713,146,4194,0.15480378890392421,0.1120387826555346,0.034811635670004767,1156 High St,Santa Cruz,CA,95064-1011,-122.058801,36.995584,35925,0,143700
50,3,228778,The University of Texas at Austin,309,8960,253,8170,305,8459,0.034486607142857145,0.030966952264381883,0.036056271426882613,110 Inner Campus Drive,Austin,TX,78705,-97.738273,30.282825,27397,0,109588
450,4,139940,Georgia State University,201,4999,513,5064,237,5518,0.040208041608321664,0.10130331753554503,0.042950344327654946,33 gilmer st,Atlanta,GA,30303-3083,-84.38667,33.7527,27206,0,108824
151,5,134130,University of Florida,443,6792,412,6526,279,6333,0.065223792697290936,0.063132087036469511,0.044054950260540029,Tigert Hall,Gainesville,FL,32611,-82.347911,29.64629,21151,0,84604
225,5,137351,University of South Florida-Main Campus,216,4435,249,5139,275,5734,0.048703494926719278,0.048453006421482779,0.047959539588419954,4202 East Fowler Ave,Tampa,FL,33620-9951,-82.413232,28.061458,21134,0,84536
127,6,243780,Purdue University-Main Campus,792,8491,1061,8195,883,8982,0.093275232599222713,0.12946918852959122,0.098307726564239584,Hovde Hall of Administration,West Lafayette,IN,47907-2040,-86.914435,40.428206,22645,0,90580
170,6,151351,Indiana University-Bloomington,580,8097,492,8291,275,7928,0.071631468445103125,0.059341454589313711,0.034687184661957617,107 South Indiana Ave.,Bloomington,IN,47405-7000,-86.526559,39.16609,25587,0,102348
112,7,204796,Ohio State University-Main Campus,942,7944,646,7716,340,8679,0.11858006042296072,0.083722135821669263,0.039175020163613322,190 N. Oval Mall,Columbus,OH,43210,-83.014853,39.999324,27202,0,108808
106,9,171100,Michigan State University,754,8688,709,8801,416,8389,0.086786372007366483,0.080559027383251908,0.049588747168911672, ,East Lansing,MI,48824-1046,-84.476111,42.73212,28626,0,114504
81,12,240444,University of Wisconsin-Madison,567,6862,637,7550,561,7306,0.082628971145438643,0.084370860927152319,0.076786203120722693,500 Lincoln Dr,Madison,WI,53706-1380,-89.404098,43.075409,26393,0,105572
101,15,174066,University of Minnesota-Twin Cities,284,5977,463,6278,291,5966,0.047515475991299981,0.073749601784007648,0.048776399597720413,100 Church Street SE,Minneapolis,MN,55455-0213,-93.235464,44.972851,27654,0,110616